database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	METHOD	PUBCHEM	CAS	KEGG	HMDB	FREI-01736	FREI-01737	FREI-01738	FREI-01739	FREI-01740	FREI-01741	FREI-01742	FREI-01743	FREI-01744	FREI-01745	FREI-01746	FREI-01747
																									CLIENT IDENTIFIER	13	14	15	16	17	18	19	20	21	22	23	24
				(3'-5')-uridylylcytidine*																	Method 3																
CHEBI:232782	C9H21N3O	N(CCCNCCCCN*)*		(N(1) + N(8))-acetylspermidine																	Method 1					536020	442162	480244	506156	540681	652760	11829020	14330729	16528939	13024742	17135230	19096816
				1,2-dioleoyl-GPC (18:1/18:1)																	Method 2	10350317	4235-95-4			382396064	450646976	439591136	388021312	407356576	469765856	337191264	337963456	341000128	371461632	380879136	429865984
				1,2-dioleoyl-GPE (18:1/18:1)																	Method 2	9546757	4004-05-01 00:00:00			153722688	181917104	179863056	150144224	172364352	191491968	139902928	143563728	141386896	153666704	168101440	162581648
				1,2-dioleoyl-GPG (18:1/18:1)																	Method 4	11846228	67254-28-8			12143400	13747269	12309686	13088222	13250789	14020760	11164735	9509933	11257281	10956424	12183072	11623751
				1,2-dioleoyl-GPI (18:1/18:1)																	Method 4				HMDB09837	4504633	3706656	3989960	5371078	3977735	3842390	4300545	3842866	4092414	3905404	4543408	4304687
				1,2-dioleoyl-GPS (18:1/18:1)																	Method 2	6438639	6811-55-8			23466020	27773274	28348516	24249242	28105416	31291266	25858668	25420908	28459420	28522638	29863986	33628596
				1,2-dipalmitoyl-GPC (16:0/16:0)																	Method 2	452110	63-89-8		HMDB00564	70547744	80904576	79816256	71371176	73572184	78745240	54607760	58575564	56165696	61637472	62751756	71438472
				1,2-dipalmitoyl-GPE (16:0/16:0)*																	Method 2	445468			HMDB08923	1102152	1405627	1386582	1177136	1328202	1350990	804690	790992	662862	867678	988314	790998
				1,2-dipalmitoyl-GPG (16:0/16:0)																	Method 2	11846227	200880-41-7		HMDB10570		85037	66586	40014	60900	79566	48369	67530	48938	61529	44480	108061
				1,2-dipalmitoyl-GPI (16:0/16:0)*																	Method 2				HMDB09778	263872	249821	278066	243325	252700	353551	834589	858551	770634	973965	994840	1039406
