Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Treatment]	Term Source REF	Term Accession Number
13	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01736	siCtrl		
14	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01737	siCtrl		
15	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01738	siCtrl		
16	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01739	siCtrl		
17	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01740	siCtrl		
18	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01741	siCtrl		
19	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01742	siKMT9a		
20	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01743	siKMT9a		
21	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01744	siKMT9a		
22	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01745	siKMT9a		
23	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01746	siKMT9a		
24	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	PC-3M cell	BTO	http://purl.obolibrary.org/obo/BTO_0005220	Cell Line	NCIT	http://purl.obolibrary.org/obo/NCIT_C16403	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	FREI-01747	siKMT9a		
